Reporter,Partner,Flow,Value,Unit,FlowYear,FlowSourceUrl,FlowSource,FlowSourceRate,Balance,ReporterIso,PartnerIso,BalanceSourceUrl,BalanceSource,GDP,flowRank
Algeria,United States,Export,"2,211",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/DZA,World Integrated Trade Solution,,-25340,DZA,USA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,5
Algeria,China,Import,"8,260",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/DZA,World Integrated Trade Solution,,-25340,DZA,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,1
Algeria,France,Import,"5,439",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/DZA,World Integrated Trade Solution,,-25340,DZA,FRA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,2
Algeria,Italy,Import,"4,860",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/DZA,World Integrated Trade Solution,,-25340,DZA,ITA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,3
Algeria,Spain,Import,"3,953",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/DZA,World Integrated Trade Solution,,-25340,DZA,ESP,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,4
Algeria,Germany,Import,"3,431",current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/and,World Integrated Trade Solution,,-25340,DZA,DEU,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,166839,5
Andorra,Spain,Export,56,current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/and,World Integrated Trade Solution,,#N/A,AND,ESP,,,3249,1
Andorra,France,Export,17,current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/and,World Integrated Trade Solution,,#N/A,AND,FRA,,,3249,2
Andorra,Norway,Export,5,current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/and,World Integrated Trade Solution,,#N/A,AND,NOR,,,3249,3
Andorra,Hong Kong,Export,3,current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/and,World Integrated Trade Solution,,#N/A,AND,HKG,,,3249,4
Andorra,Italy,Export,2,current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/and,World Integrated Trade Solution,,#N/A,AND,ITA,,,3249,5
Andorra,Spain,Import,961,current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/and,World Integrated Trade Solution,,#N/A,AND,ESP,,,3249,1
Andorra,France,Import,242,current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/and,World Integrated Trade Solution,,#N/A,AND,FRA,,,3249,2
Andorra,China,Import,64,current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/and,World Integrated Trade Solution,,#N/A,AND,CHN,,,3249,3
Andorra,Germany,Import,60,current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/and,World Integrated Trade Solution,,#N/A,AND,DEU,,,3249,4
Andorra,Switzerland,Import,46,current USD (millions),2015,http://wits.worldbank.org/Countrysnapshot/en/and,World Integrated Trade Solution,,#N/A,AND,CHE,,,3249,5
Angola,China,Export,"14,276",USD (million),2015,https://globaledge.msu.edu/countries/angola/tradestats,globalEDGE,,-4929,AGO,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,102627,1
Angola,India,Export,"2,676",USD (million),2015,https://globaledge.msu.edu/countries/angola/tradestats,globalEDGE,,-4929,AGO,IND,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,102627,2
Angola,Spain,Export,"2,241",USD (million),2015,https://globaledge.msu.edu/countries/angola/tradestats,globalEDGE,,-4929,AGO,ESP,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,102627,3
Angola,France,Export,"1,568",USD (million),2015,https://globaledge.msu.edu/countries/angola/tradestats,globalEDGE,,-4929,AGO,FRA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,102627,4
Angola,South Africa,Export,"1,350",USD (million),2015,https://globaledge.msu.edu/countries/angola/tradestats,globalEDGE,,-4929,AGO,ZAF,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,102627,5
Angola,China,Import,"2,825",USD (million),2015,https://globaledge.msu.edu/countries/angola/tradestats,globalEDGE,,-4929,AGO,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,102627,1
Angola,Portugal,Import,"2,450",USD (million),2015,https://globaledge.msu.edu/countries/angola/tradestats,globalEDGE,,-4929,AGO,PRT,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,102627,2
Angola,South Korea,Import,"1,434",USD (million),2015,https://globaledge.msu.edu/countries/angola/tradestats,globalEDGE,,-4929,AGO,KOR,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,102627,3
Angola,United States,Import,"1,234",USD (million),2015,https://globaledge.msu.edu/countries/angola/tradestats,globalEDGE,,-4929,AGO,USA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,102627,4
Angola,South Africa,Import,909,USD (million),2015,https://globaledge.msu.edu/countries/angola/tradestats,globalEDGE,,-4929,AGO,ZAF,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,102627,5
Antigua and Barbuda,Poland,Export,139,USD (million),2014,http://atlas.media.mit.edu/en/visualize/tree_map/hs07/export/atg/show/all/2014/,The Observatory of Economic Complexity,,-122,ATG,POL,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1259,1
Antigua and Barbuda,Suriname,Export,29,USD (million),2014,http://atlas.media.mit.edu/en/visualize/tree_map/hs07/export/atg/show/all/2014/,The Observatory of Economic Complexity,,-122,ATG,SUR,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1259,2
Antigua and Barbuda,Cameroon,Export,28,USD (million),2014,http://atlas.media.mit.edu/en/visualize/tree_map/hs07/export/atg/show/all/2014/,The Observatory of Economic Complexity,,-122,ATG,CMR,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1259,3
Antigua and Barbuda,Senegal,Export,18,USD (million),2014,http://atlas.media.mit.edu/en/visualize/tree_map/hs07/export/atg/show/all/2014/,The Observatory of Economic Complexity,,-122,ATG,SEN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1259,4
